icao,iata,airline_name,aircrafts
CSB,2I,21 Air,2
BRO,BRO,2Excel Aviation,21
IHO,FE,748 Air Services,6
JYH,AQ,9 Air,25
NKP,S5,Abakan Air,7
ABP,ABP,ABS Jets,1
BAR,BAR,Abu Dhabi Aviation,1
ABX,GB,ABX Air,15
SON,SON,Acass Ireland,3
WSN,AN,Advanced Air,15
AEE,A3,Aegean Airlines,53
EIN,EI,Aer Lingus,63
ACL,JK,AerCaribe,6
NIG,N2,Aero,8
GLT,GLT,Aero Charter,8
CTA,CTA,Aero Charter and Transport,2
AEO,AEO,Aero Guernsey,2
EOK,RF,Aero K,3
MNG,M0,Aero Mongolia,4
ASR,ASR,Aero Sotravia,5
ABA,ABA,Aero-Beta Flight Training,12
ADN,ADN,Aero-Dienst,3
AFL,SU,Aeroflot,179
ARG,AR,Aerolineas Argentinas,78
BOX,3S,AeroLogic,12
TAO,VW,Aeromar,9
AMX,AM,Aeromexico,144
VTM,VTM,Aeronaves TSM,53
DFC,DFC,Aeropartner,8
RER,RER,Aeroregional,3
TAA,TAA,Aeroservicios de la Costa,5
BSC,BSC,Aerostan,2
ASO,ASO,Aerosul Linhas Aereas,2
AEP,AEP,Aerotec,12
ATU,ATU,Aerotours,3
ATG,F5,Aerotranscargo,7
TNO,6R,AeroUnion,5
DAP,V5,Aerovias DAP,7
VIZ,VIZ,Aerovis Airlines,4
AAT,AAT,Africa Airlines,1
AFW,AW,Africa World Airlines,8
AXK,XU,African Express Airways,2
ABS,J7,Afrijet,2
AAW,8U,Afriqiyah Airways,9
RUF,RUF,Air 1st Aviation,2
ABN,ZB,Air Albania,2
DAH,AH,Air Algerie,56
AYY,AYY,Air Alliance,12
MMD,6I,Air Alsie,8
GUY,3S,Air Antilles,11
ABY,G9,Air Arabia,49
KZR,KC,Air Astana,34
ABD,CC,Air Atlanta Icelandic,7
REU,UU,Air Austral,10
BTI,BT,Air Baltic,34
ABB,KF,Air Belgium,3
BOH,BOH,Air Bohemia,4
LBR,LBR,Air Borealis,9
BOT,BP,Air Botswana,3
BUR,BUR,Air Bucharest,2
VBW,2J,Air Burkina,4
ABL,BX,Air Busan,25
MSC,SM,Air Cairo,10
TPC,TY,Air Caledonie,4
ACA,AC,Air Canada,291
ROU,RV,Air Canada Rouge,28
FWI,TX,Air Caraibes,13
CMF,CMF,Air Care Alliance,1
SNC,2Q,Air Cargo Carriers,35
CEY,Y2,Air Century,10
CGN,9H,Air Changan,13
NGF,NGF,Air Charity Network,15
EDC,EDC,Air Charter Scotland,11
CVA,3C,Air Chathams,6
CCA,CA,Air China,485
CAO,CAO,Air China Cargo,15
CNM,CNM,Air China Inner Mongolia,9
ACO,3E,Air Choice One,12
RJR,RJR,Air CM Global,8
CCM,XK,Air Corsica,12
VRE,HF,Air Cote d'Ivoire,12
CRQ,YN,Air Creebec,18
ADO,HD,Air Do,15
DLA,EN,Air Dolomiti,17
AEA,UX,Air Europa,53
FPK,FS,Air Falcon,1
WAF,F4,Air Flamenco,14
AFR,AF,Air France,266
GRL,GL,Air Greenland,13
CGH,GT,Air Guilin,11
AHO,AHO,Air Hamburg,43
HAT,HT,Air Horizont,5
AIH,KJ,Air Incheon,3
AIC,AI,Air India,129
AXB,IX,Air India Express,24
AIE,3H,Air Inuit,31
KBZ,K7,Air KBZ,8
AKL,IK,Air Kiribati,2
KOR,JS,Air Koryo,10
LSJ,DU,Air Liaison,12
TLR,7I,Air Libya,6
RLY,RLY,Air Loyaute,5
AMU,NX,Air Macau,22
MDG,MD,Air Madagascar,4
AMC,KM,Air Malta,10
MBB,ZM,Air Manas,1
MAU,MK,Air Mauritius,11
MAR,MV,Air Mediterranean,1
MLD,9U,Air Moldova,6
MNE,MNE,Air Montenegro,3
ANZ,NZ,Air New Zealand,101
ANG,PX,Air Niugini,26
ANT,4N,Air North,9
ANE,YW,Air Nostrum,5
BFF,BFF,Air Nunavut,14
AOA,AOA,Air Ocean Airlines,2
PST,7P,Air Panama,3
APK,P4,Air Peace,26
APZ,YP,Air Premia,1
RAR,GZ,Air Rarotonga,4
SPM,PJ,Air Saint-Pierre,2
SZN,HC,Air Senegal,10
ASV,RS,Air Seoul,6
SEY,HM,Air Seychelles,7
ASB,ASB,Air Spray,45
RSI,RSI,Air Sunshine,8
VTA,VT,Air Tahiti,9
THT,TN,Air Tahiti Nui,4
ATC,TC,Air Tanzania,12
IBJ,IBJ,Air Taxi & Charter International,1
TIN,8T,Air Tindi,11
TSC,TS,Air Transat,30
EAT,EAT,Air Transport Europe,2
ATN,8C,Air Transport International,13
OTC,A6,Air Travel,14
URG,3N,Air Urga,7
AVN,NF,Air Vanuatu,2
VLB,VLB,Air Volta,2
AXY,AXY,Air X Charter,15
AZW,UM,Air Zimbabwe,4
TWG,TWG,Air-Taxi Europe,4
RUN,9T,AirACT,5
AXM,AK,AirAsia,242
XAX,D7,AirAsia X,22
ABQ,PA,AirBlue,11
ABW,RU,AirBridgeCargo Airlines,18
AIB,AIB,Airbus,891
BGA,4Y,Airbus Transport International,9
ACI,SB,Aircalin,6
NGT,RM,Aircompany Armenia,3
AEG,AEG,Airest,7
AXE,ED,AirExplore,4
AFE,AFE,Airfast Indonesia,8
XGO,XGO,AirGO Private Airline,5
GJM,GJM,Airhub Airlines,6
XAK,P2,Airkenya Express,6
ARL,ARL,Airlec Air Espace,8
JAR,JAR,Airlink,15
LNK,4Z,Airlink,55
USC,USC,AirNet,30
ANO,TL,Airnorth,10
APC,APC,Airpac Airlines,11
PNK,PNK,AirPink,15
ASL,JU,AirSERBIA,18
XSN,XSN,AirSF Flight Services,5
XSR,XSR,AirShare,46
SIF,PF,AirSial,3
XSM,XSM,AirSmart,6
ASP,ASP,AirSprint,23
ATX,T6,AirSWIFT,4
TOW,9L,AirTanker,3
NWG,NWG,Airwing,6
AWK,AWK,Airwork,13
PNX,PNX,AIS Airlines,7
AJY,AJY,Ajwaa Airlines,1
SVL,SVL,Alante Air Charter,3
ASA,AS,Alaska Airlines,340
AER,KO,Alaska Central Express,19
LAV,AP,AlbaStar,6
GAL,G0,Albatros Airlines,1
AWT,2B,Albawings,3
LUC,LUC,Albinati Aeronautics,1
KHH,DQ,Alexandria Airlines,2
LID,D4,Alidaunia,8
LSI,CP,AlisCargo Airlines,4
TJD,TJD,Aliserio,8
VBB,VBB,ALK Airlines,4
ALN,ALN,Alkan Air,2
AKN,AKN,Alkan Air,19
ANA,NH,All Nippon Airways,244
AAY,G4,Allegiant Air,130
LLR,9I,Alliance Air,20
UTY,QQ,Alliance Airlines,59
AJK,4W,Allied Air,4
LMU,UJ,AlMasria Universal Airlines,6
AAH,KH,Aloha Air Cargo,5
BIC,BIC,Alphaland Aviation,2
AIP,5A,Alpine Air Express,70
FSE,FSE,Alpine Flightservice,2
DRU,6R,Alrosa,6
ALW,ALW,ALS,6
AGH,AGH,Altagna,2
AHX,MZ,Amakusa Airlines,1
APF,HP,Amapola Flyg,11
AZN,Z8,Amaszonas,12
AMV,AMV,AMC Airlines,4
AMQ,AMQ,AMC Aviation,12
AEH,NL,Amelia International,16
GTW,GTW,American Air Charter,6
AAL,AA,American Airlines,1534
AMF,A8,Ameriflight,136
AJT,M6,Amerijet International,14
AJI,7Z,Ameristar,13
FDS,FDS,AMREF Flying Doctors,4
SSV,DM,Anda Air,1
ANS,ANS,Andes Lineas Aereas,5
AGU,2G,Angara Airlines,2
AXL,Q3,Anguilla Air Services,5
AWG,A2,Animawings,1
ADB,ADB,Antonov Airlines,7
RIV,GP,APG Airlines,1
DWI,DM,Arajet,2
AZE,AZE,Arcus Air,9
AFG,FG,Ariana Afghan Airlines,3
ARA,W3,Arik Air,20
AIZ,IZ,Arkia Israeli Airlines,5
AMW,6A,Armenia Airways,3
ARU,AG,Aruba Airlines,3
ESW,ESW,ASG Business Aviation,6
MGE,P9,Asia Pacific Airlines,4
AAR,OZ,Asiana Airlines,83
SKK,KP,Asky Airlines,12
ABR,ABR,ASL Airlines,62
TAY,3V,ASL Airlines Belgium,1
SUL,0A,Asta Linhas Aereas,2
ASJ,ASJ,Astonjet,9
ACP,8V,Astral Aviation,6
TBZ,I3,ATA Airlines,17
CYO,CYO,ATI Jet,7
FLI,RC,Atlantic Airways,5
GTI,5Y,Atlas Air,55
ATL,ATL,Atlas Air Service,13
VAS,V8,Atran,9
GWR,U5,Aura Airlines,2
AUK,UI,Auric Air,11
AUR,GR,Aurigny Air Services,8
SHU,HZ,Aurora,21
AUA,OS,Austrian Airlines,62
ATV,ATV,Avanti Air,1
TTE,TTE,Avcenter,5
AOJ,AOJ,Avcon Jet,17
VCJ,VCJ,Avcon Jet Malta,5
VAJ,VAJ,Avcon Jet San Marino,1
VXP,XP,Avelo Airlines,8
AVJ,YK,Avia Traffic,6
AZS,ZR,Aviacon Zitotrans,4
AVA,AV,Avianca,135
TPA,QT,Avianca Cargo,6
VIT,VIT,Aviastar,1
TUP,4B,Aviastar-TU,8
LKF,LKF,Aviation Advisor,13
HZS,HZS,Aviation Horizons,7
NVD,X9,Avion Express,10
VND,VND,Avionord,5
ROI,9V,Avior Airlines,13
VSR,VSR,Aviostart,2
AHY,J2,Azerbaijan Airlines,30
AZO,A4,Azimuth,15
AZM,ZQ,Azman Air,7
RZO,S4,Azores Airlines,8
AZY,AJ,Aztec Airways,7
AZU,AD,Azul Linhas Aereas,180
AZV,ZF,Azur Air,32
UTN,QU,Azur Air Ukraine,11
INR,UV,Babcock MCS Espana,27
ELH,ELH,Babcock MCS Italia,45
BND,BND,Babcock MCS Offshore,42
RHD,RHD,Babcock MCS Onshore,84
DFL,DFL,Babcock Scandinavian AirAmbulance,31
BAO,BAO,Baden Aircraft Operations,5
BDR,J4,Badr Airlines,12
BAE,BAE,BAe Systems,3
VSB,VSB,BAe Systems Marine,5
BHS,UP,Bahamasair,10
BFO,BM,Bakhtar Afghan Airlines,1
BAV,QH,Bamboo Airways,29
BKP,PG,Bangkok Airways,36
BKA,BKA,BankAir,6
BXH,BXH,Bar XH Air,4
BSX,5B,Bassaka Air,2
BTK,ID,Batik Air,73
UBE,7B,Bees Airline,4
BJN,BJN,Beijing Airlines,8
BBX,BBX,Bel Air Aviation,5
BRU,B2,Belavia,21
BMJ,CH,Bemidji Airlines,42
BRG,8E,Bering Air,37
BVT,J8,Berjaya Air,2
BNL,NB,Berniq Airways,2
BYA,BYA,Berry Aviation,19
BFY,BFY,Bestfly Aruba,6
BCV,3B,Bestfly Cabo Verde,4
BGH,8H,BH Air,4
BTN,B3,Bhutan Airlines,2
BHR,BHR,Bighorn Airways,20
BBC,BG,Biman Bangladesh Airlines,22
BID,BID,BinAir,2
IBB,NT,Binter Canarias,31
BIO,BIO,Bioflight,10
BLA,0B,Blue Air,14
BDA,BZ,Blue Dart Aviation,6
BCI,SI,Blue Islands,5
BSG,BSG,Blue Square Aviation,6
BBG,BZ,Bluebird Airways,5
BBZ,BBZ,Bluebird Aviation,8
BBD,BO,Bluebird Nordic,10
BOE,BOE,Boeing,331
BOV,OB,Boliviana de Aviacion,24
BOO,BOO,Bookajet,4
BTQ,4B,Boutique Air,24
BRX,TF,BRA,16
BAY,BAY,Bravo Airways,2
MXY,MX,Breeze Airways,21
BHL,BHL,Bristow Helicopters,134
BAW,BA,British Airways,299
CFL,CFL,Bromma Air Maintenance,1
BEL,SN,Brussels Airlines,40
BPS,RP,Budapest Aircraft Service,3
BHA,U4,Buddha Air,16
BFL,BFL,Buffalo Airways,51
BVL,LB,Bul Air,7
BGF,BGF,Bulgaria - Government,1
LZB,FB,Bulgaria Air,10
BRQ,UZ,Buraq Air,2
JMP,JMP,Business Wings,4
RYS,RR,Buzz,8
BYS,BYS,BySky,3
TCV,VR,Cabo Verde Airlines,2
CXE,9Q,Caicos Express Airways,5
CFV,A7,Calafia Airlines,4
CAV,MO,Calm Air,5
CMD,CMD,Calstar,20
CRC,QC,Camair-Co,3
KME,KR,Cambodia Airways,6
KHV,K6,Cambodia Angkor Air,7
TGO,TGO,Canada - Department of Transport,40
TWC,TWC,Canadian Airways Congo,1
AKT,5T,Canadian North,29
CNF,PM,CanaryFly,7
CNA,CNA,Canavia,7
MFC,MFC,Canlink Aviation,59
CWA,CWA,CanWest Air,9
KAP,9K,Cape Air,109
EGL,EGL,Capital Air Ambulance,4
CBJ,JD,Capital Airlines,93
CCQ,CCQ,Capital City Air Carriers,3
CAD,8F,Cardig Air,1
CGF,CGF,Cargo Air,10
CJT,W8,Cargojet Airways,28
GCL,6L,CargoLogic Germany,4
CLU,P3,CargoLogicAir,2
CLX,CV,Cargolux,30
BWA,BW,Caribbean Airlines,24
KRP,V3,Carpatair,3
CRN,CRN,Carson Air,17
CPN,RV,Caspian Airlines,10
CSJ,CSJ,Castle Aviation,24
CPA,CX,Cathay Pacific,173
VCG,VCG,Catreus,10
CVK,CVK,Cavok Air,9
CAY,KX,Cayman Airways,7
CEB,5J,Cebu Pacific,70
CEL,C2,Ceiba Intercontinental,5
KEM,5Z,CemAir,15
CTL,CTL,Central Air Southwest,29
HLF,I9,Central Airlines,4
GLR,9M,Central Mountain Air,26
CLF,CLF,Centreline,13
IRU,IRU,Chabahar Airlines,2
GSW,GM,Chair Airlines,3
CLG,CE,Chalair Aviation,14
CHG,X7,Challenge Airlines,4
SAW,6Q,Cham Wings Airlines,3
LTC,LTC,Charter Jets,4
HRT,HRT,Chartright Air,15
HMB,HMB,CHC Helicopter,79
UEA,EU,Chengdu Airlines,65
CAL,CI,China Airlines,92
CKK,CK,China Cargo Airlines,13
LHA,GI,China Central Longhao Airlines,12
CES,MU,China Eastern Airlines,605
HXA,G5,China Express Airlines,59
CYZ,CF,China Postal Airlines,33
CSN,CZ,China Southern Airlines,664
CUA,KN,China United Airlines,55
CQN,OQ,Chongqing Airlines,33
NDL,NDL,Chrono Aviation,13
MBK,MB,Chrono Jet,5
CHC,CHC,CITIC Offshore Helicopter,11
CTV,QG,Citilink,59
BCY,WX,Cityjet,3
CAP,CAP,Civil Air Patrol,613
ORO,ORO,Clipper Jet,3
CMA,CMA,CMA CGM AirCargo,4
CSV,CQ,Coastal Aviation,8
JTE,NC,Cobham Aviation,17
CLB,CLB,Cobham Flight Inspection,2
CGZ,GY,Colorful GuiZhou Airlines,16
CAW,MN,Comair,8
CXB,CS,Comlux Aruba,2
CLA,CLA,Comlux Aviation,1
MLM,MLM,Comlux Aviation Malta,6
CPI,CPI,Compagnia Aeronautica Italiana,6
ADZ,ADZ,Compass Cargo Airlines,2
FGD,FGD,Conair,76
CFG,DE,Condor,53
CGA,8Z,Congo Airways,4
QAI,C4,Conquest Air,2
VTE,LF,Contour Aviation,20
VCV,V0,Conviasa,15
CMP,CM,Copa Airlines,80
CAT,CAT,Copenhagen Airtaxi,5
CAI,XC,Corendon Airlines,35
CXI,XR,Corendon Airlines Europe,2
MLN,MLN,Corporate Air,3
CRL,SS,Corsair,9
GRA,GW,Costa Rica Green Airways,3
AUZ,Z7,Cristalux,1
CTN,OU,Croatia Airlines,12
CRA,CRA,Cronos Airlines,4
CSI,CSI,CSI Aviation,2
CUB,CU,Cubana,13
RGN,RGN,Cygnus Air,4
CYP,CY,Cyprus Airways,1
CSA,OK,Czech Airlines,2
CCD,CCD,Dalian Airlines,13
DAN,9J,Dana Air,7
DSO,DSO,Dassault Falcon Service,9
DTR,DX,DAT,18
DCS,DCS,DC Aviation,8
WKT,WKT,DEA Aviation,4
DER,DER,Deer Jet,29
BDJ,BDJ,Deer Jet Beijing,1
DAL,DL,Delta Air Lines,1255
DPJ,DPJ,Delta Private Jets,75
DRY,DRY,Deraya,1
DJR,DJR,Desert Jet,5
DHK,D0,DHL,196
DMS,DMS,Diamond Sky,2
DCT,DCT,Directflight,2
DVR,3R,Divi Divi Air,5
EPA,DZ,Donghai Airlines,26
DAV,DO,Dornier Aviation Nigeria Aiep,4
CBM,CBM,DragonFly Executive,5
DLX,DLX,Dreamline Aviation,10
AMB,1I,DRF Luftrettung,54
DRK,KB,Druk Air,5
DUB,DUB,Dubai Air Wing,1
CAH,CAH,E+S Air,8
EFD,EFD,E-Aviation,2
ERF,RF,E-Cargo Airlines,1
FEI,FEI,Eagle Air Iceland,4
EGC,EGC,Eagle Creek Aviation,8
EMD,EMD,EagleMed,18
ECJ,ECJ,East Coast Jets,4
ESR,ZE,Eastar Jet,9
EAL,2D,Eastern Airlines,17
EZE,T3,Eastern Airways,10
EFY,VE,EasyFly,21
EZY,U2,easyJet,316
SRK,SRK,EATIS,4
ECC,ECC,Eclair Aviation,1
ECO,8J,EcoJet,3
EDW,WK,Edelweiss Air,14
EGT,EGT,EGT Jet,3
MSR,MS,EgyptAir,63
MSX,MSX,EgyptAir Cargo,4
ELY,LY,El Al,44
EAU,EAU,Elitavia Malta,15
MNU,7Q,Elite Airways,10
EMB,EMB,Embraer,95
UAE,EK,Emirates,267
EMM,EMM,Emperor Aviation,6
CFS,EM,Empire Airlines,7
MJE,MJE,Empire Aviation,3
NAK,NAK,ENAC Ecole Aviation Civile,98
DKT,DKT,Encore Air Cargo,17
ENT,E4,Enter Air,26
GRV,GRV,Epsilon Aviation,5
EQX,HN,Equair,2
ESF,E7,Estafeta,6
ETR,ES,Estelar,3
EZZ,LI,ETF Airways,1
ETH,ET,Ethiopian Airlines,121
ETD,EY,Etihad Airways,99
EUL,EUL,Euro Link,4
EAK,5B,Euro-Asia Air,4
MMZ,YU,EuroAtlantic Airways,8
BUC,H6,European Air Charter,14
URO,URO,European Cargo,7
PTO,PTO,European Flight Academy,33
EUW,EUW,European Flight Service,7
FYS,FYS,European Flyers,9
EWG,EW,Eurowings,117
OCN,4Y,Eurowings Discover,16
EVA,BR,EVA Air,93
VTS,5V,Everts Air Alaska,17
EWR,ZD,EWA Air,2
ECA,ECA,Excellent Air,16
EFT,EFT,Execuflight,1
EJO,EJO,Execujet Middle East,6
VMP,VMP,Execujet Scandinavia,7
EXJ,EXJ,Executive Jet Charter,2
EJM,EJM,Executive Jet Management,71
JME,JME,Executive Jet Management,11
XRC,7A,Express Air Cargo,3
ASQ,EV,ExpressJet,1
BTA,XE,ExpressJet Airlines,1
XRO,XRO,Exxaero,8
EZR,7Z,EZ Air,3
EZA,MG,Eznis Airways,1
IFA,IFA,FAI rent-a-jet,21
PBR,PBR,Fast Air,8
FJW,FN,Fastjet Zimbabwe,5
FDX,FX,FedEx,707
FNX,FNX,Fenix Air Charter,6
FFD,FFD,Feuerwehr-Flugdienst Niedersachsen,2
FJI,FJ,Fiji Airways,22
FTR,FTR,Finistair,2
FIN,AY,Finnair,84
FFM,FY,Firefly,15
EXV,8D,FitsAir,2
FLE,F8,Flair Airlines,16
FXT,W2,Flexflight,13
LXJ,LXJ,Flexjet,180
FLJ,FLJ,Flexjet Europe,7
FJO,FJO,Flexjet Operations Malta,6
FCK,FCK,Flight Calibration Services,3
VOR,VOR,Flight Calibration Services,8
OPT,OPT,Flight options,32
AYR,AYR,Flight Training Europe,24
FEX,FEX,FlightExec,2
FTL,FTL,Flightline,4
DCM,DCM,Fltplan,15
FSF,FSF,Fly 7,22
EDR,8W,Fly AllWays,3
FLA,EQ,Fly Angola,1
FBA,IF,Fly Baghdad,7
FGW,4V,Fly Gangwon,2
FJR,F0,Fly Jordan,2
FIA,5F,Fly One,5
OYA,YI,Fly Oya,1
EXZ,EXZ,Fly SAX,1
FSQ,FSQ,Fly Sky Airlines,1
FSU,FSU,Fly Sky Airlines,3
FTY,FTY,Fly Tyrol,6
VAW,VAW,Fly2Sky,4
FFV,5H,Fly540,4
FAD,F3,Flyadeal,22
BEE,BE,Flybe,7
FLG,S9,FlyBig,2
FBZ,FO,Flybondi,5
FDB,FZ,FlyDubai,67
FEG,FT,FlyEgypt,8
TOR,SX,FlyGTA Airlines,6
VQI,VP,FlyMe,4
MNT,5M,FlyMontserrat,1
KNE,XY,Flynas,36
FRE,FP,FlyPelican,5
FOX,FS,Flyr,10
SFR,FA,FlySafair,28
FSM,FSM,FlySchool,11
FRA,FRA,FR Aviation,14
FHY,FH,Freebird Airlines,10
FRG,FRG,Freight Runners Express,28
FBU,BF,French Bee,5
FFT,F9,Frontier Airlines,114
FDA,JH,Fuji Dream Airlines,16
FZA,FU,Fuzhou Airlines,17
GTR,GH,Galistair,1
GMA,GMA,Gama Aviation (UK),20
GAJ,GAJ,Gama Aviation (US),98
GIA,GA,Garuda Indonesia,106
GZP,4G,Gazpromavia,40
GCA,9A,GCA Airlines,3
DOR,DOR,General Atomic AeroTech Systems,1
GNX,GNX,Genex,2
NMG,9D,Genghis Khan Airlines,5
GEL,GEL,Geo Sky Airline,2
TGZ,A9,Georgian Airways,3
GER,ZQ,German Airways,5
GFD,GFD,Gesellschaft Fur Flugzieldarstellung,16
GES,GES,Gestair,24
GJT,GW,GetJet Airlines,5
GJE,GJE,Global Air Charters,5
GXA,G6,Global Crossing Airlines,6
SVW,SVW,Global Jet Luxembourg,43
GAC,GAC,GlobeAir,21
GOW,G8,Go First,58
GLO,G3,GOL Linhas Aereas,143
GDK,GDK,Goldeck Flug,4
GMR,Y5,Golden Myanmar Airlines,1
QUE,QUE,Gouvernement du Quebec,20
GPX,IV,GP Aviation,2
GFM,GFM,Grafair,7
CVU,YR,Grand Canyon Airlines,11
GDC,CN,Grand China Air,3
GUN,GV,Grant Aviation,15
HGB,HB,Greater Bay Airlines,2
GWG,Q9,Green Africa Airways,3
GAG,GAG,Greybird Aviation,11
GTX,GTX,GTA Air,16
GFA,GF,Gulf Air,37
GWC,GWC,Gulf Wings,3
GBG,G2,GullivAir,6
GUA,GUA,Guna Airlines,4
CBG,GX,GX Airlines,26
HHN,HR,Hahn Air,3
HAI,HAI,Hai Au Aviation,2
CHH,HU,Hainan Airlines,225
HGR,HGR,Hangar 8,7
HMJ,HMJ,Harmony Jets,5
HAL,HA,Hawaiian Airlines,62
HBH,NS,Hebei Airlines,28
MCM,YO,Heli Air Monaco,2
HLR,HLR,Heli Air Services,4
HHE,HHE,Heli Holland,14
HSO,HSO,Heli Service International,9
HLU,HLU,Héli-Union,5
HEL,HEL,Helicol,6
JBA,JBA,Helijet International,15
HTS,HTS,Helistar,10
HSR,HSR,Helistar,4
HTY,HTY,HELITY Copter Airlines,3
OAW,2L,Helvetic Airways,16
HER,HER,Hera Flight,6
HRN,HRN,Heron Aviation,8
HST,HN,Heston Airlines,5
HGG,4H,Hi Air,3
HFY,5K,Hi Fly,14
HBN,HG,Hibernian Airlines,3
HIM,H9,Himalaya Airlines,4
HND,OI,Hinterland Aviation,15
HYM,H7,HiSky,5
NTH,NTH,Hokkaido Air System,4
HES,5Q,Holiday Europe,1
HKC,RH,Hong Kong Air Cargo,5
CRK,HX,Hong Kong Airlines,33
HKE,UO,Hong Kong Express,26
HPJ,HPJ,Hop-A-Jet,9
HTM,HTM,HTM Helicopter Travel Munich,13
ETI,ETI,Hummingbird Aviation,6
MML,MR,Hunnu Air,3
HYD,0Q,Hydro Quebec,3
HYP,HYP,Hyperion Aviation,16
RSY,F7,I-Fly,8
SWQ,WQ,iAero Airways,33
CSQ,II,IBC Airways,13
IBE,IB,Iberia,112
IBS,I2,Iberia Express,22
EVE,E9,Iberojet,8
IBX,FW,Ibex Airlines,10
IAN,QI,Ibom Air,4
ICE,FI,Icelandair,38
ICF,ICF,ICS-Aero,2
IFL,IFL,IFL Group,22
JTI,JTI,ImperialJet,3
IGO,6E,IndiGo,256
